City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Nikolskoye,RU,2021-12-10 02:34:57,59.7035,30.7861,0.81,96,20,5.21
67,Ribeira Grande,PT,2021-12-10 02:34:58,38.5167,-28.7,63.39,63,98,12.03
68,Cranbrook,CA,2021-12-10 02:30:10,49.4999,-115.7688,25.66,80,40,9.22
69,Hami,CN,2021-12-10 02:34:59,42.8,93.45,30.15,41,100,5.82
70,Valdivia,CL,2021-12-10 02:30:18,-39.8142,-73.2459,69.89,52,0,3.09
71,Kutum,SD,2021-12-10 02:34:41,14.2,24.6667,56.5,26,0,4.99
72,Redmond,US,2021-12-10 02:30:22,47.674,-122.1215,42.39,88,60,3.0
73,Trincomalee,LK,2021-12-10 02:35:00,8.5711,81.2335,82.24,74,99,14.09
74,Boden,SE,2021-12-10 02:35:01,65.8252,21.6886,28.4,94,99,6.51
75,Beausejour,CA,2021-12-10 02:35:07,50.0622,-96.5167,22.86,92,8,9.4
76,Jumla,NP,2021-12-10 02:35:08,29.2747,82.1838,44.73,23,0,1.41
77,Kondinskoye,RU,2021-12-10 02:35:08,59.6481,67.41,19.24,85,100,11.14
78,Nouakchott,MR,2021-12-10 02:35:08,18.0858,-15.9785,68.88,26,62,14.54
79,Viking,CA,2021-12-10 02:35:10,53.1001,-111.7684,17.46,87,89,7.94
80,Chernyakhovsk,RU,2021-12-10 02:35:10,54.6335,21.8156,32.79,91,100,14.43
81,Waingapu,ID,2021-12-10 02:35:12,-9.6567,120.2641,87.24,65,63,5.12
82,Wanaka,NZ,2021-12-10 02:35:13,-44.7,169.15,63.75,68,100,7.52
83,Ixtapa,MX,2021-12-10 02:35:14,20.7,-105.2,74.43,73,1,0.0
84,Dhidhdhoo,MV,2021-12-10 02:35:15,6.8833,73.1,81.7,78,97,9.6
85,Paamiut,GL,2021-12-10 02:35:15,61.994,-49.6678,23.02,95,100,5.66
86,Te Anau,NZ,2021-12-10 02:35:17,-45.4167,167.7167,70.84,33,95,5.03
87,Maningrida,AU,2021-12-10 02:35:17,-12.0667,134.2667,90.66,56,100,7.47
88,Havre-Saint-Pierre,CA,2021-12-10 02:36:20,50.2334,-63.5986,15.8,61,20,16.11
89,Isangel,VU,2021-12-10 02:36:21,-19.55,169.2667,85.66,67,48,10.07
90,Puke,AL,2021-12-10 02:36:27,42.0444,19.8997,37.49,99,100,3.4
91,Sligo,IE,2021-12-10 02:36:27,54.2697,-8.4694,38.68,71,90,24.76
92,Nouadhibou,MR,2021-12-10 02:36:32,20.931,-17.0347,65.1,71,93,17.83
93,Upernavik,GL,2021-12-10 02:36:33,72.7868,-56.1549,0.1,99,92,9.19
94,Nelson Bay,AU,2021-12-10 02:36:37,-32.7167,152.15,78.96,35,0,4.0
95,Pecos,US,2021-12-10 02:34:12,31.4229,-103.4932,69.87,15,75,6.91
96,Bayji,IQ,2021-12-10 02:36:38,34.9311,43.487,52.2,67,0,7.58
97,Matagami,CA,2021-12-10 02:36:38,49.7502,-77.6328,-0.29,78,75,11.5
98,Pisco,PE,2021-12-10 02:36:40,-13.7,-76.2167,66.25,77,0,12.66
99,Vila Franca Do Campo,PT,2021-12-10 02:36:42,37.7167,-25.4333,57.2,75,33,1.66
100,Mullovka,RU,2021-12-10 02:36:45,54.2,49.4,28.22,95,100,6.73
101,Carnarvon,AU,2021-12-10 02:36:46,-24.8667,113.6333,78.87,65,0,17.27
102,Gladstone,AU,2021-12-10 02:36:47,-23.85,151.25,90.79,58,68,11.5
103,Grindavik,IS,2021-12-10 02:36:51,63.8424,-22.4338,34.27,100,75,5.75
104,Chandpur,IN,2021-12-10 02:36:52,29.15,78.2667,58.35,56,0,4.38
105,Leningradskiy,RU,2021-12-10 02:36:57,69.3833,178.4167,-12.44,92,100,22.17
106,Nizhniy Kuranakh,RU,2021-12-10 02:36:58,58.8353,125.4869,1.94,89,91,4.5
107,Egvekinot,RU,2021-12-10 02:35:12,66.3167,-179.1667,-13.95,86,92,11.14
108,Sola,VU,2021-12-10 02:36:58,-13.8833,167.55,82.9,72,98,6.31
109,New Norfolk,AU,2021-12-10 02:37:00,-42.7826,147.0587,61.66,49,94,1.01
110,Maceio,BR,2021-12-10 02:33:15,-9.6658,-35.7353,80.04,83,20,5.75
111,Coquimbo,CL,2021-12-10 02:37:03,-29.9533,-71.3436,58.73,88,0,5.75
112,Murray Bridge,AU,2021-12-10 02:35:34,-35.1167,139.2667,74.32,43,0,15.57
113,Magalia,US,2021-12-10 02:37:03,39.8121,-121.5783,42.96,72,13,1.99
114,Lakes Entrance,AU,2021-12-10 02:37:07,-37.8811,147.981,61.16,69,84,10.38
115,Dehloran,IR,2021-12-10 02:37:10,32.6941,47.2679,61.2,53,0,3.33
116,Katsuura,JP,2021-12-10 02:37:12,35.1333,140.3,57.18,67,100,12.28
117,Dingle,PH,2021-12-10 02:37:12,10.9995,122.6711,82.4,78,76,16.13
